月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,257,225,200,131,331,146,173,135,158,291,181,349 
中壢區,251,231,184,144,304,155,158,121,149,256,199,338 
大溪區,44,56,56,28,63,40,43,22,28,44,31,58 
楊梅區,112,72,91,69,115,51,77,51,61,108,71,133 
蘆竹區,83,84,68,56,106,53,75,43,53,78,68,121 
大園區,57,46,25,25,70,27,45,27,38,50,35,73 
龜山區,89,65,60,49,129,48,59,53,63,94,65,111 
八德區,122,83,105,75,167,79,96,79,67,131,86,153 
龍潭區,64,55,62,42,82,50,55,47,48,77,56,92 
平鎮區,144,90,98,74,181,86,84,79,67,158,98,167 
新屋區,26,28,19,28,25,19,24,12,17,20,17,41 
觀音區,43,30,33,14,33,20,32,24,27,38,29,45 
復興區,6,11,11,5,12,7,0,6,4,6,8,10 
