,月份區域別,month,count,year
0,桃園市,一月,336,102
1,中壢市,一月,281,102
2,平鎮市,一月,159,102
3,八德市,一月,145,102
4,楊梅市,一月,113,102
5,大溪鎮,一月,66,102
6,蘆竹鄉,一月,96,102
7,大園鄉,一月,68,102
8,龜山鄉,一月,108,102
9,龍潭鄉,一月,72,102
10,新屋鄉,一月,30,102
11,觀音鄉,一月,43,102
12,復興鄉,一月,11,102
13,桃園市,二月,125,102
14,中壢市,二月,125,102
15,平鎮市,二月,73,102
16,八德市,二月,60,102
17,楊梅市,二月,38,102
18,大溪鎮,二月,28,102
19,蘆竹鄉,二月,62,102
20,大園鄉,二月,30,102
21,龜山鄉,二月,57,102
22,龍潭鄉,二月,34,102
23,新屋鄉,二月,9,102
24,觀音鄉,二月,14,102
25,復興鄉,二月,5,102
26,桃園市,三月,247,102
27,中壢市,三月,227,102
28,平鎮市,三月,113,102
29,八德市,三月,104,102
30,楊梅市,三月,97,102
31,大溪鎮,三月,57,102
32,蘆竹鄉,三月,81,102
33,大園鄉,三月,49,102
34,龜山鄉,三月,80,102
35,龍潭鄉,三月,63,102
36,新屋鄉,三月,19,102
37,觀音鄉,三月,29,102
38,復興鄉,三月,10,102
39,桃園市,四月,200,102
40,中壢市,四月,163,102
41,平鎮市,四月,106,102
42,八德市,四月,100,102
43,楊梅市,四月,61,102
44,大溪鎮,四月,49,102
45,蘆竹鄉,四月,91,102
46,大園鄉,四月,31,102
47,龜山鄉,四月,61,102
48,龍潭鄉,四月,65,102
49,新屋鄉,四月,10,102
50,觀音鄉,四月,35,102
51,復興鄉,四月,4,102
52,桃園市,五月,324,102
53,中壢市,五月,331,102
54,平鎮市,五月,148,102
55,八德市,五月,160,102
56,楊梅市,五月,109,102
57,大溪鎮,五月,58,102
58,蘆竹鄉,五月,103,102
59,大園鄉,五月,55,102
60,龜山鄉,五月,119,102
61,龍潭鄉,五月,77,102
62,新屋鄉,五月,21,102
63,觀音鄉,五月,40,102
64,復興鄉,五月,8,102
65,桃園市,六月,148,102
66,中壢市,六月,158,102
67,平鎮市,六月,112,102
68,八德市,六月,72,102
69,楊梅市,六月,59,102
70,大溪鎮,六月,35,102
71,蘆竹鄉,六月,61,102
72,大園鄉,六月,32,102
73,龜山鄉,六月,61,102
74,龍潭鄉,六月,40,102
75,新屋鄉,六月,20,102
76,觀音鄉,六月,27,102
77,復興鄉,六月,9,102
78,桃園市,七月,198,102
79,中壢市,七月,220,102
80,平鎮市,七月,112,102
81,八德市,七月,100,102
82,楊梅市,七月,67,102
83,大溪鎮,七月,51,102
84,蘆竹鄉,七月,74,102
85,大園鄉,七月,43,102
86,龜山鄉,七月,76,102
87,龍潭鄉,七月,49,102
88,新屋鄉,七月,16,102
89,觀音鄉,七月,30,102
90,復興鄉,七月,8,102
91,桃園市,八月,99,102
92,中壢市,八月,118,102
93,平鎮市,八月,60,102
94,八德市,八月,51,102
95,楊梅市,八月,42,102
96,大溪鎮,八月,23,102
97,蘆竹鄉,八月,57,102
98,大園鄉,八月,19,102
99,龜山鄉,八月,42,102
100,龍潭鄉,八月,31,102
101,新屋鄉,八月,8,102
102,觀音鄉,八月,18,102
103,復興鄉,八月,4,102
104,桃園市,九月,250,102
105,中壢市,九月,246,102
106,平鎮市,九月,124,102
107,八德市,九月,110,102
108,楊梅市,九月,108,102
109,大溪鎮,九月,49,102
110,蘆竹鄉,九月,76,102
111,大園鄉,九月,53,102
112,龜山鄉,九月,103,102
113,龍潭鄉,九月,69,102
114,新屋鄉,九月,17,102
115,觀音鄉,九月,33,102
116,復興鄉,九月,5,102
117,桃園市,十月,239,102
118,中壢市,十月,279,102
119,平鎮市,十月,136,102
120,八德市,十月,125,102
121,楊梅市,十月,116,102
122,大溪鎮,十月,57,102
123,蘆竹鄉,十月,78,102
124,大園鄉,十月,44,102
125,龜山鄉,十月,114,102
126,龍潭鄉,十月,45,102
127,新屋鄉,十月,28,102
128,觀音鄉,十月,31,102
129,復興鄉,十月,6,102
130,桃園市,十一月,326,102
131,中壢市,十一月,272,102
132,平鎮市,十一月,152,102
133,八德市,十一月,113,102
134,楊梅市,十一月,115,102
135,大溪鎮,十一月,42,102
136,蘆竹鄉,十一月,102,102
137,大園鄉,十一月,51,102
138,龜山鄉,十一月,101,102
139,龍潭鄉,十一月,91,102
140,新屋鄉,十一月,30,102
141,觀音鄉,十一月,35,102
142,復興鄉,十一月,5,102
143,桃園市,十二月,296,102
144,中壢市,十二月,243,102
145,平鎮市,十二月,170,102
146,八德市,十二月,122,102
147,楊梅市,十二月,83,102
148,大溪鎮,十二月,49,102
149,蘆竹鄉,十二月,105,102
150,大園鄉,十二月,49,102
151,龜山鄉,十二月,93,102
152,龍潭鄉,十二月,81,102
153,新屋鄉,十二月,24,102
154,觀音鄉,十二月,40,102
155,復興鄉,十二月,5,102
0,桃園市,一月,316,103
1,中壢市,一月,270,103
2,平鎮市,一月,149,103
3,八德市,一月,140,103
4,楊梅市,一月,113,103
5,大溪鎮,一月,66,103
6,蘆竹市,一月,124,103
7,大園鄉,一月,66,103
8,龜山鄉,一月,103,103
9,龍潭鄉,一月,90,103
10,新屋鄉,一月,31,103
11,觀音鄉,一月,43,103
12,復興鄉,一月,12,103
13,桃園市,二月,188,103
14,中壢市,二月,151,103
15,平鎮市,二月,85,103
16,八德市,二月,90,103
17,楊梅市,二月,69,103
18,大溪鎮,二月,33,103
19,蘆竹市,二月,60,103
20,大園鄉,二月,35,103
21,龜山鄉,二月,50,103
22,龍潭鄉,二月,46,103
23,新屋鄉,二月,12,103
24,觀音鄉,二月,12,103
25,復興鄉,二月,5,103
26,桃園市,三月,239,103
27,中壢市,三月,219,103
28,平鎮市,三月,118,103
29,八德市,三月,106,103
30,楊梅市,三月,74,103
31,大溪鎮,三月,58,103
32,蘆竹市,三月,98,103
33,大園鄉,三月,40,103
34,龜山鄉,三月,82,103
35,龍潭鄉,三月,63,103
36,新屋鄉,三月,20,103
37,觀音鄉,三月,20,103
38,復興鄉,三月,7,103
39,桃園市,四月,173,103
40,中壢市,四月,189,103
41,平鎮市,四月,103,103
42,八德市,四月,97,103
43,楊梅市,四月,71,103
44,大溪鎮,四月,28,103
45,蘆竹市,四月,67,103
46,大園鄉,四月,37,103
47,龜山鄉,四月,76,103
48,龍潭鄉,四月,43,103
49,新屋鄉,四月,12,103
50,觀音鄉,四月,18,103
51,復興鄉,四月,6,103
52,桃園市,五月,342,103
53,中壢市,五月,348,103
54,平鎮市,五月,178,103
55,八德市,五月,161,103
56,楊梅市,五月,122,103
57,大溪鎮,五月,65,103
58,蘆竹市,五月,116,103
59,大園鄉,五月,65,103
60,龜山鄉,五月,151,103
61,龍潭鄉,五月,80,103
62,新屋鄉,五月,31,103
63,觀音鄉,五月,52,103
64,復興鄉,五月,8,103
65,桃園市,六月,226,103
66,中壢市,六月,248,103
67,平鎮市,六月,133,103
68,八德市,六月,102,103
69,楊梅市,六月,93,103
70,大溪鎮,六月,58,103
71,蘆竹市,六月,78,103
72,大園鄉,六月,46,103
73,龜山鄉,六月,80,103
74,龍潭鄉,六月,59,103
75,新屋鄉,六月,22,103
76,觀音鄉,六月,34,103
77,復興鄉,六月,14,103
78,桃園市,七月,180,103
79,中壢市,七月,176,103
80,平鎮市,七月,116,103
81,八德市,七月,96,103
82,楊梅市,七月,75,103
83,大溪鎮,七月,32,103
84,蘆竹市,七月,49,103
85,大園鄉,七月,35,103
86,龜山鄉,七月,57,103
87,龍潭鄉,七月,49,103
88,新屋鄉,七月,22,103
89,觀音鄉,七月,21,103
90,復興鄉,七月,6,103
91,桃園市,八月,102,103
92,中壢市,八月,134,103
93,平鎮市,八月,70,103
94,八德市,八月,59,103
95,楊梅市,八月,49,103
96,大溪鎮,八月,14,103
97,蘆竹市,八月,52,103
98,大園鄉,八月,19,103
99,龜山鄉,八月,38,103
100,龍潭鄉,八月,33,103
101,新屋鄉,八月,7,103
102,觀音鄉,八月,17,103
103,復興鄉,八月,7,103
104,桃園市,九月,264,103
105,中壢市,九月,258,103
106,平鎮市,九月,149,103
107,八德市,九月,125,103
108,楊梅市,九月,111,103
109,大溪鎮,九月,58,103
110,蘆竹市,九月,88,103
111,大園鄉,九月,43,103
112,龜山鄉,九月,103,103
113,龍潭鄉,九月,63,103
114,新屋鄉,九月,23,103
115,觀音鄉,九月,32,103
116,復興鄉,九月,7,103
